Review,Review_Type
Did not meet expectations. Local productREAD MORE,0
Not good. Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,0
Not good. shuttle is over rotatingREAD MORE,0
Absolute rubbish!. Very bad quality.READ MORE,0
Worst experience ever!. Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,0
Decent product. Not expecting this kind of products from flipkart.READ MORE,0
Awesome. No one better shuttles in the market.good quality and reasonable price.READ MORE,1
Did not meet expectations. low qualityREAD MORE,0
Really Nice. Superb quality... And best price.. Thanks to flipkart..!READ MORE,1
Utterly Disappointed. second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,0
Really Nice. I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,1
Not recommended at all. Very bad quality this timeREAD MORE,0
"Absolute rubbish!. I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",0
"Horrible. Quality is not good, rejected qualityREAD MORE",0
Mind-blowing purchase. This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,1
Terrific purchase. Really Nice productQuick delivery Thanks filpkartREAD MORE,1
Awesome. Very nice shuttleREAD MORE,1
Don't waste your money. Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,0
Worst experience ever!. Quality very low. Not orginalREAD MORE,0
Unsatisfactory. WorstREAD MORE,0
Very poor. Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,0
Worst experience ever!. Dont but it.... worst productREAD MORE,0
Very poor. Low quality very bad quality 😡READ MORE,0
"Utterly Disappointed. The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",0
Worthless. Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,0
Absolute rubbish!. Not genuine productREAD MORE,0
Waste of money!. Waste productREAD MORE,0
Absolute rubbish!. I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,0
Waste of money!. Very High PriceREAD MORE,0
"Waste of money!. Bad bad , compare to ah year back coming mavis 350READ MORE",0
"Just wow!. The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",1
Worst experience ever!. Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,0
Very poor. All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,0
Don't waste your money. 3rd class quality  I want Returns but time is overREAD MORE,0
Very poor. Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,0
Not recommended at all. Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,0
Absolute rubbish!. Very bad quality 👎READ MORE,0
Terrible product. Not expected qualityREAD MORE,0
Don't waste your money. Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,0
Waste of money!. not durable. very poor qualityREAD MORE,0
Good quality product. but price is littel bit highREAD MORE,1
Terrific purchase. GoodREAD MORE,1
Just okay. NiceREAD MORE,0
Perfect product!. not the required one.READ MORE,1
Not recommended at all. This product is not original.please avoid online purchase.READ MORE,0
Worthless. One shuttle was damaged and vobling..let me know what to doREAD MORE,0
Good choice. Good quality productREAD MORE,1
Terrific purchase. Good shuttle and  classic productREAD MORE,1
Don't waste your money. got defective piecesREAD MORE,0
"Horrible. bad packing, unsatisfiedREAD MORE",0
Awesome. Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,1
Super!. good quality..  nice product..  thanks fpr fast deliveryREAD MORE,1
Brilliant. Nice cockeREAD MORE,1
Just wow!. Good qualityREAD MORE,1
Duplicate product sold by RetailNet.. Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,0
Really Nice. it's awsm 😎READ MORE,1
Best in the market!. reasonable priceREAD MORE,1
"Super!. Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",1
Just wow!. One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,1
"Delightful. good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",1
Good for starters but not the best.. Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,1
"Wonderful. Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",1
"Simply awesome. Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",1
"Worth every penny. got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",1
"Mind-blowing purchase. This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",1
"Wonderful. After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",1
Delightful. very good product n durable but not good enough speed slows down little in mid airREAD MORE,1
Brand new and Genuine. The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,1
Must buy!. Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,1
Nice product. Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,1
"Simply awesome. This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",1
"Hated it!. Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",0
Unsatisfactory. Cost is too high I hate the productREAD MORE,0
Utterly Disappointed. Very poor quality...inconsistent speed...poor flightREAD MORE,0
Excellent. Yonex is always best in quality....READ MORE,1
Worthless. worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,0
"MAVIS 350. i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",1
Excellent. I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,1
Mind-blowing purchase. Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,1
Just wow!. checked at Sunrisetnt.com . found genuineREAD MORE,1
Did not meet expectations. Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,0
Not good. AverageREAD MORE,0
"Excellent shuttlecocks. Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",1
Best in the market!. Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,1
"Not recommended at all. Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",0
Awesome. Best shuttle available online no more discription needed.READ MORE,1
Just wow!. long lasting product.....nice product....READ MORE,1
Terrific. best shuttleREAD MORE,1
Super!. 🏸Good Quality... 🏸READ MORE,1
Awesome. Fabulous itemREAD MORE,1
Awesome. Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,1
Don't waste your money. Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,0
Brilliant. This is the original mavis 350READ MORE,1
Worthless. Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,0
Just okay. Two shuttles were durable out of 6..READ MORE,0
Worst experience ever!. Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,0
Terrible product. Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,0
Just wow!. Best oneREAD MORE,1
Perfect product!. Excellent product👌READ MORE,1
Terrible product. Very Bad Quality in filpkartREAD MORE,0
Good. Delicate productREAD MORE,0
Don't waste your money. Bad qualityREAD MORE,0
Very poor. Don't have good qualityREAD MORE,0
Absolute rubbish!. Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,0
Must buy!. It's is good product and the service was very goodREAD MORE,1
Not recommended at all. 2nd qualityREAD MORE,0
Moderate. Local productREAD MORE,0
Not good. Very old stock.. not lasts to even 5 gamesREAD MORE,0
Utterly Disappointed. All shuttles are not good in view of balance.READ MORE,0
Just wow!. OkREAD MORE,1
Terrific purchase. Nice product all suttles are good 🥰🥰READ MORE,1
Excellent. Nice productREAD MORE,1
Could be way better. Old one onlyREAD MORE,0
Perfect product!. Super ballREAD MORE,1
Must buy!. According to cost it's average lifeREAD MORE,1
Slightly disappointed. So worstREAD MORE,0
Not recommended at all. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,0
Did not meet expectations. Quality not good              It was broken after 2 matchREAD MORE,0
Not good. Nice product but damage in 1 daysREAD MORE,0
Useless product. Not good at all this is the worst product I have bought at flipkartREAD MORE,0
Absolute rubbish!. Low quality. Not durabalityREAD MORE,1
Hated it!. BadlyREAD MORE,0
Don't waste your money. Very bad qualityREAD MORE,0
Waste of money!. Very bad product a word to describe I write duplicate productREAD MORE,0
Absolute rubbish!. This time quality very very worstREAD MORE,0
Expected a better product. Poor quality ☹️READ MORE,0
Horrible. Very  low bad quality product Flipkart is fooling everyoneREAD MORE,0
"Expected a better product. This shuttles were duplicates, these were not up to the mark.READ MORE",0
Useless product. Very bad product I ever receivedREAD MORE,0
Don't waste your money. Bad copy quality riceveREAD MORE,0
Very poor. Waste of moneyREAD MORE,0
Worthless. Quality is very bad and very very tired class shuttecockREAD MORE,0
Unsatisfactory. WorstREAD MORE,0
Useless product. So poor qualityREAD MORE,0
Worthless. Reate is wery to muchREAD MORE,0
Absolute rubbish!. The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,0
Expected a better product. not upto mark cork getting cracksREAD MORE,0
Horrible. Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,0
"Utterly Disappointed. Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",0
Must buy!. Very goodREAD MORE,1
Classy product. Good quality of shuttlesREAD MORE,1
"Brilliant. I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",1
Terrible product. Bad productedREAD MORE,0
Delightful. Good productREAD MORE,1
Does the job. Received counterfeit product.READ MORE,0
Fabulous!. If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,1
Terrific purchase. Good productREAD MORE,1
Nice. One day 1cap gaanREAD MORE,0
Just wow!. GoodREAD MORE,1
Best in the market!. Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,1
Best in the market!. Good qualityREAD MORE,1
Good. Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,0
Worth every penny. BestREAD MORE,1
Good quality product. I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,1
Great product. This item is so good you can buy it it is originalREAD MORE,1
Wonderful. Excellent for Indoor courtREAD MORE,1
Great product. Genuine product. Nice packing.READ MORE,1
Highly recommended. Good quality..😍🖤READ MORE,1
Very Good. Nice thanks  FlipkartREAD MORE,1
Perfect product!. Nice productREAD MORE,1
"Good. Gradual decrease in quality, less longevity.READ MORE",0
Perfect product!. Nice productREAD MORE,1
Pretty good. wow productREAD MORE,1
Did not meet expectations. 1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,0
Useless product. Product is not same as shown in the picture.READ MORE,0
Nice. just Average.... not 100% goodREAD MORE,0
"Utterly Disappointed. I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",0
Moderate. Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,0
Decent product. I found that some of the shuttle are differentREAD MORE,0
Very poor. shuttle was not of genuine conectarte qualityREAD MORE,0
Unsatisfactory. poor qualityREAD MORE,0
Nice product. 2 balls are waste. they are rotate. unable to play.READ MORE,1
Worthless. very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,0
Best in the market!. original productREAD MORE,1
Not good. Shuttle not goodREAD MORE,0
Excellent. good as expectedREAD MORE,1
Highly recommended. goodREAD MORE,1
Waste of money!. Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,0
"Must buy!. Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",1
Nice product. Good👍READ MORE,1
Simply awesome. very niceREAD MORE,1
Best in the market!. niceREAD MORE,1
Awesome. nice shuttle for outdoorREAD MORE,1
Brilliant. good productREAD MORE,1
Great product. amazing cost and amazing oneREAD MORE,1
Nice product. The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,1
Just wow!. good dilevary and very good productREAD MORE,1
Fair. it's worthREAD MORE,0
Just okay. GoodREAD MORE,0
Did not meet expectations. Looks like these are fake shuttles & not sold by yonex.READ MORE,0
Unsatisfactory. worst product not to buy low qualityREAD MORE,0
Worst experience ever!. shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,0
Hated it!. product is not goodREAD MORE,0
"Terrible product. 5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",0
Hated it!. bad qualityREAD MORE,0
Simply awesome. Very good productREAD MORE,1
Simply awesome. best quality shuttlesREAD MORE,1
Classy product. good quality. value the moneyREAD MORE,1
Good. very goodREAD MORE,0
Hated it!. Very worstREAD MORE,0
Very Good. NOT BAD....READ MORE,1
Classy product. shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,1
"Utterly Disappointed. Bad Quality,,,,,,READ MORE",0
Bad quality. Quality is not good. Little bit fast.READ MORE,0
Must buy!. Excellent it's original as I buy in local sports storesREAD MORE,1
"Unsatisfactory. Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",0
Unsatisfactory. The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,0
Highly recommended. Nice product best price superREAD MORE,1
Fair. If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,0
Very Good. Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,1
Absolute rubbish!. It's not suitable for outdoorREAD MORE,0
Not good. It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,0
Moderate. Horrible shuttle I ever playREAD MORE,0
"Worth every penny. Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",1
Does the job. One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,0
"Classy product. Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",1
Best in the market!. Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,1
"Terrific purchase. Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",1
Simply awesome. nice itemsREAD MORE,1
Fabulous!. Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,1
Mind-blowing purchase. shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,1
Great product. I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,1
Mind-blowing purchase. it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,1
Decent product. Not convinced with the quality of product.READ MORE,0
"Utterly Disappointed. There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",0
Nice. okREAD MORE,0
good. Value for MoneyREAD MORE,1
Classy product. Excellent product but cost is higherREAD MORE,1
Moderate. one Shuttle just broken in 4 days by a smashREAD MORE,0
"Absolute rubbish!. Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",0
"Excellent. nice shuttle , The Flight is correct, and good durability.READ MORE",1
Good choice. Ball best but local rate are highREAD MORE,1
"Above-average product. Good, but flipcart price is too high. From the market we get it only 110 rs per peaceREAD MORE",0
"Value-for-money. Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",1
Worth every penny. Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,1
Absolute rubbish!. Very worst rateREAD MORE,0
very good. shuttle has long life and light.READ MORE,1
Worst experience ever!. Worst product.Dont go for it.It will not stand for an hour playREAD MORE,0
Cheating. You are fleecing customers by tagging wrong MRP.READ MORE,0
Just wow!. Better for beginnersREAD MORE,1
"Did not meet expectations. shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",0
Moderate. Its okkREAD MORE,0
quality not same. 1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,0
Super!. Nice product for practiceREAD MORE,1
Fabulous!. ExcellentREAD MORE,1
Classy product. Good oneREAD MORE,1
Excellent. NiceREAD MORE,1
Good quality product. GoodREAD MORE,1
Must buy!. It is good .READ MORE,1
Classy product. Original product with great discountREAD MORE,1
Above-average product. Good productREAD MORE,0
"Must buy!. Absolutely good quality shuttles,and great packing by the team.READ MORE",1
Decent product. Product  is  good  but  price  is  increased  Retailer  price  is  620 .READ MORE,0
"Worth every penny. Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",1
"Brilliant. Best cicks,but price was very highest please think itREAD MORE",1
Could be way better. Poor product...READ MORE,0
Slightly disappointed. Poor qualityREAD MORE,0
Fabulous!. Value for moneyREAD MORE,1
Fair. Not badREAD MORE,0
Awesome. BestREAD MORE,1
Bad quality. Not so good.READ MORE,0
Expected a better product. Quality not good and rotate the cork new oneREAD MORE,0
Very poor. Very worst productREAD MORE,0
Fabulous!. Best qualityREAD MORE,1
Useless product. One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this productREAD MORE,0
"Decent product. Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one matchREAD MORE",0
Utterly Disappointed. Bad quality .READ MORE,0
Pretty good. Nice product and packingREAD MORE,1
Did not meet expectations. This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playingREAD MORE,0
Fabulous!. SuperREAD MORE,1
Mind-blowing purchase. Best qualityREAD MORE,1
Horrible. Going bad quickly. 1 to 2 days.READ MORE,0
"Highly recommended. Extremely good,fully satisfied with its quality wishes to place repeat orderREAD MORE",1
Classy product. Best shuttle corkREAD MORE,1
Fair. After playing 3to 4 matches cork gets rotate.  No longer used to play further games.READ MORE,0
Super!. Good quality productREAD MORE,1
Just okay. Best for out gameREAD MORE,0
Brilliant. You. Should definitely buy thisREAD MORE,1
"Brilliant. Nice quality, genuine product and affordable priceREAD MORE",1
Delightful. It is good for outdoor. Easy to spoil when it contact with water.READ MORE,1
Super!. Nice must buyREAD MORE,1
Great product. GoodREAD MORE,1
Wonderful. Good productREAD MORE,1
Wonderful. Nice oneREAD MORE,1
Terrific purchase. Excellent 👌READ MORE,1
Excellent. Thanks FlipkartREAD MORE,1
Perfect product!. Best oneREAD MORE,1
Terrific purchase. Very goodREAD MORE,1
Nice. OkREAD MORE,0
Simply awesome. Very good productREAD MORE,1
Decent product. Breaking in 1 hour game . Bad qualityREAD MORE,0
Pretty good. As expected... Nice..READ MORE,1
Perfect product!. Superb..READ MORE,1
Just wow!. ExcellentREAD MORE,1
Really Nice. Good productsREAD MORE,1
Worth the money. NiceREAD MORE,1
Mind-blowing purchase. Nice product and longlifeREAD MORE,1
Worth every penny. Very goodREAD MORE,1
Value-for-money. WorthyREAD MORE,1
Mind-blowing purchase. Very nice product thank you Flipkart original Mavis 350 ....READ MORE,1
Highly recommended. Nice product. .READ MORE,1
Pretty good. GoodREAD MORE,1
Wonderful. GoodREAD MORE,1
Good choice. I received original product.READ MORE,1
"Just wow!. Very good shutles ,READ MORE",1
Brilliant. GoodREAD MORE,1
Good quality product. One ball play on one weekREAD MORE,1
Awesome. Genuine productREAD MORE,1
Fabulous!. Best products of whole yonex companyREAD MORE,1
Very poor. Bad quality...READ MORE,0
Excellent. Very niceREAD MORE,1
Wonderful. goodREAD MORE,1
Decent product. The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame.READ MORE,0
Decent product. Okay okREAD MORE,0
Mind-blowing purchase. GoodREAD MORE,1
Delightful. OkREAD MORE,1
"Terrific. It was a genuine product, received in perfect condition.READ MORE",1
Fabulous!. GoodREAD MORE,1
Horrible. Easily got damagedREAD MORE,0
Worthless. Worst boxREAD MORE,0
Terrific purchase. GoodREAD MORE,1
Best in the market!. On time delivery and quality was goodREAD MORE,1
Does the job. Now a days getting bad quality.READ MORE,0
Must buy!. THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITEREAD MORE,1
Mind-blowing purchase. Nice 👍👍👍READ MORE,1
Delightful. Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.READ MORE,1
Waste of money!. Very bad not goodREAD MORE,0
Worth the money. GoodREAD MORE,1
Terrible product. Very bad productREAD MORE,0
Wonderful. GoodREAD MORE,1
Useless product. Very poor quality. Don't buy.READ MORE,0
Delightful. It's goodREAD MORE,1
Excellent. Nice... Cost was highREAD MORE,1
